transaction_id,scheme_name,unit_no,property_type,district,state,postcode,built_up_sqft,price_rm,transaction_date,source_batch
TX-2026-08-02128,Bandar Anggerik Jaya Petaling,G-16-15,Kondominium,Petaling,Selangor,46393,750,445500,2026-08-30,B5
TX-2026-08-00345,Residensi Seri Melati Kuala,A-10-19,Kondominium,Kuala Lumpur,W.P. Kuala Lumpur,50334,1105,430000,2026-08-25,B4
TX-2026-08-00938,Desa Cempaka Wangi Gombak,B-37-21,Banglo,DAERAH GOMBAK,Selangor,68047,4693,2295000,2026-08-20,B2
TX-2026-08-02424,Pangsapuri Kenanga Sari Petaling,E-17-12,Teres 2 Tingkat,DAERAH PETALING,Selangor,47037,2264,1241000,2026-08-19,B2
TX-2026-08-01904,Kondominium Mutiara Sentosa Hulu,D-17-12,Banglo,Hulu Langat,Selangor,43317,4115,1522500,2026-08-29,B6
TX-2026-08-00688,Kondominium Damai Indah Petaling,B-33-19,Kondominium,DAERAH PETALING,Selangor,47725,1267,534000,2026-08-01,B2
TX-2026-08-01457,Taman Warisan Murni Gombak,E-36-14,Banglo,Gombak,Selangor,68028,4782,1808000,07/08/2026,B4
TX-2026-08-02486,Kondominium Damai Indah Petaling,E-26-07,Teres 1 Tingkat,Petaling,Selangor,46537,1033,443500,2026-08-16,B4
TX-2026-08-00950,Desa Warisan Murni Petaling,G-30-24,Pangsapuri,Petaling,Selangor,47747,815,336500,2026-08-24,B3
TX-2026-08-02740,Kondominium Mutiara Sentosa Gombak,F-18-21,Berkembar 2 Tingkat,Gombak,Selangor,68005,3210,1590500,2026-08-19,B4
TX-2026-08-02716,Pangsapuri Suria Bayu Sepang,G-07-10,Pangsapuri,Sepang,Selangor,63005,893,333500,2026-08-20,B1
TX-2026-08-02283,Desa Anggerik Jaya Kuala,C-16-03,Banglo,Kuala Langat,Selangor,42542,3484,1299500,2026-08-30,B6
TX-2026-08-00028,Desa Seri Melati Kuala,A-32-02,Kondominium,Kuala Lumpur,W.P. Kuala Lumpur,53187,1482,963500,2026-08-09,B5
TX-2026-08-02662,Kondominium Impian Setia Petaling,F-04-05,Teres 2 Tingkat,Petaling,Selangor,46460,1598,688000,2026-08-08,B2
TX-2026-08-01072,Desa Seri Melati Kuala,B-03-01,Teres 2 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,51847,2397,1058000,2026-08-04,B5
TX-2026-08-00289,Pangsapuri Cempaka Wangi Klang,B-13-07,Teres 1 Tingkat,DAERAH KLANG,Selangor,41941,1068,339000,2026-08-14,B6
TX-2026-08-02441,Desa Seri Melati Kuala,D-20-21,Kondominium,Kuala Lumpur,W.P. Kuala Lumpur,57213,1119,521000,2026-08-03,B1
TX-2026-08-00749,Desa Kenanga Sari Kuala,G-07-08,Teres 1 Tingkat,Kuala Langat,Selangor,42637,1087,316000,2026-08-07,B2
TX-2026-08-02985,Kondominium Kenanga Sari Hulu,E-31-06,Teres 2 Tingkat,Hulu Langat,Selangor,43458,1706,687000,2026-08-27,B3
TX-2026-08-01204,Kondominium Putra Perdana Petaling,G-37-07,Teres 2 Tingkat,Petaling,Selangor,46629,1632,746500,2026-08-11,B1
TX-2026-08-02676,Taman Tasik Permai Klang,D-25-14,Teres 2 Tingkat,DAERAH KLANG,Selangor,41769,1796,758500,2026-08-11,B4
TX-2026-08-01442,Taman Anggerik Jaya Kuala,A-25-24,Pangsapuri,Kuala Lumpur,W.P. Kuala Lumpur,52301,821,530000,2026-08-11,B1
TX-2026-08-00504,Residensi Mutiara Sentosa Kuala,G-18-23,Teres 2 Tingkat,Kuala Langat,Selangor,42664,2273,646500,2026-08-27,B3
TX-2026-08-01535,Bandar Kenanga Sari Kuala,D-27-14,Teres 2 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,53010,1982,1935000,2026-08-29,B5
TX-2026-08-02184,Pangsapuri Suria Bayu Kuala,F-12-03,Banglo,Kuala Lumpur,W.P. Kuala Lumpur,59099,4427,3421000,2026-08-25,B5
TX-2026-08-01908,Pangsapuri Suria Bayu Kuala,B-28-16,Banglo,Kuala Lumpur,W.P. Kuala Lumpur,59662,3937,3468000,2026-08-26,B3
TX-2026-08-00330,Taman Damai Indah Sabak,E-34-03,Teres 2 Tingkat,Sabak Bernam,Selangor,45259,1420,248500,2026-08-03,B5
TX-2026-08-02830,Pangsapuri Suria Bayu Sepang,C-34-12,Pangsapuri,Sepang,Selangor,63203,938,356000,2026-08-21,B1
TX-2026-08-01243,Taman Anggerik Jaya Kuala,F-01-17,Teres 1 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,54510,1234,765500,2026-08-22,B5
TX-2026-08-00298,Taman Tasik Permai Klang,G-03-15,Teres 2 Tingkat,Klang,Selangor,41993,1627,856000,2026-08-14,B2
TX-2026-08-00495,Desa Tasik Permai Sepang,E-25-06,Teres 1 Tingkat,Sepang,Selangor,71801,1247,606000,2026-08-15,B5
TX-2026-08-00337,Kondominium Impian Setia Petaling,F-36-21,Teres 2 Tingkat,Petaling,Selangor,47320,1818,787500,2026-08-04,B2
TX-2026-08-02070,Residensi Damai Indah Sepang,C-10-11,Pangsapuri,Sepang,Selangor,63193,623,261500,2026-08-23,B3
TX-2026-08-02329,Desa Mutiara Sentosa Klang,F-20-23,Teres 1 Tingkat,Klang,Selangor,41063,923,354000,2026-08-12,B4
TX-2026-08-02609,Desa Bukit Harmoni Petaling,B-25-01,Teres 2 Tingkat,Petaling,Selangor,46117,1839,820000,2026-08-09,B4
TX-2026-08-01394,Pangsapuri Cempaka Wangi Klang,A-30-19,Banglo,DAERAH KLANG,Selangor,42211,5053,1437000,2026-08-14,B1
TX-2026-08-01486,Taman Anggerik Jaya Kuala,F-32-17,Kondominium,Kuala Lumpur,W.P. Kuala Lumpur,54603,1327,801000,2026-08-28,B5
TX-2026-08-02755,Kondominium Impian Setia Petaling,C-19-17,Teres 1 Tingkat,DAERAH PETALING,Selangor,46312,934,634000,2026-08-11,B3
TX-2026-08-02837,Kondominium Mutiara Sentosa Hulu,G-07-13,Banglo,DAERAH HULU LANGAT,Selangor,43091,4643,1648000,2026-08-05,B2
TX-2026-08-02038,Kondominium Putra Perdana Petaling,D-10-12,Kondominium,DAERAH PETALING,Selangor,47017,973,464500,2026-08-22,B6
TX-2026-08-00873,Bandar Anggerik Jaya Petaling,F-33-12,Teres 1 Tingkat,Petaling,Selangor,46699,1380,596500,2026-08-08,B3
TX-2026-08-02932,Bandar Putra Perdana Hulu,E-17-03,Banglo,Hulu Selangor,Selangor,44225,3173,808500,2026-08-16,B4
TX-2026-08-01111,Taman Warisan Murni Gombak,D-05-14,Teres 2 Tingkat,Gombak,Selangor,68039,1742,931000,2026-08-16,B5
TX-2026-08-02129,Taman Anggerik Jaya Kuala,A-37-10,Berkembar 2 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,56580,2571,1717500,2026-08-03,B5
TX-2026-08-00665,Taman Bukit Harmoni Gombak,B-31-21,Teres 2 Tingkat,DAERAH GOMBAK,Selangor,68077,2190,646500,2026-08-26,B2
TX-2026-08-02207,Desa Warisan Murni Petaling,A-25-24,Kondominium,Petaling,Selangor,47180,1461,617000,2026-08-02,B6
TX-2026-08-02977,Taman Warisan Murni Gombak,E-25-23,Pangsapuri,Gombak,Selangor,68029,914,377500,2026-08-09,B6
TX-2026-08-02607,Desa Bukit Harmoni Petaling,G-20-17,Pangsapuri,Petaling,Selangor,47027,755,471500,2026-08-25,B6
TX-2026-08-01291,Pangsapuri Tasik Permai Gombak,A-06-07,Pangsapuri,DAERAH GOMBAK,Selangor,68037,665,209500,2026-08-03,B2
TX-2026-08-00343,Pangsapuri Kenanga Sari Petaling,E-21-15,Berkembar 2 Tingkat,DAERAH PETALING,Selangor,46892,2291,1490500,2026-08-12,B4
TX-2026-08-00063,Taman Seri Melati Hulu,B-13-24,Kondominium,Hulu Langat,Selangor,43147,1017,407000,2026-08-22,B4
TX-2026-08-02110,Taman Kenanga Sari Kuala,A-29-23,Teres 2 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,59566,2326,1442000,2026-08-22,B4
TX-2026-08-02913,Pangsapuri Cempaka Wangi Klang,B-29-16,Teres 1 Tingkat,Klang,Selangor,41924,1226,532500,2026-08-06,B5
TX-2026-08-00812,Desa Cempaka Wangi Gombak,D-23-06,Teres 2 Tingkat,Gombak,Selangor,68070,1895,979000,2026-08-15,B3
TX-2026-08-01767,Kondominium Mutiara Sentosa Hulu,E-29-22,Kondominium,Hulu Langat,Selangor,43477,904,643500,2026-08-22,B2
TX-2026-08-00832,Desa Anggerik Jaya Kuala,E-21-23,Teres 1 Tingkat,Kuala Langat,Selangor,42625,1378,303000,2026-08-05,B1
TX-2026-08-00936,Taman Kenanga Sari Gombak,E-35-18,Teres 1 Tingkat,Gombak,Selangor,68013,918,479000,2026-08-01,B3
TX-2026-08-02413,Desa Kenanga Sari Hulu,A-04-07,Pangsapuri,Hulu Langat,Selangor,43132,589,181000,2026-08-24,B2
TX-2026-08-00232,Bandar Mutiara Sentosa Kuala,G-29-20,Teres 1 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,52124,1231,1049500,2026-08-12,B1
TX-2026-08-01545,Bandar Mutiara Sentosa Kuala,E-21-22,Berkembar 2 Tingkat,DAERAH KUALA LUMPUR,W.P. Kuala Lumpur,50363,2774,1831500,2026-08-21,B6
TX-2026-08-01366,Pangsapuri Seri Melati Hulu,D-24-08,Teres 2 Tingkat,Hulu Langat,Selangor,43364,2000,784500,2026-08-15,B3
TX-2026-08-00061,Taman Seri Melati Hulu,B-11-15,Kondominium,Hulu Langat,Selangor,43163,1017,407000,2026-08-22,B1
TX-2026-08-00816,Bandar Anggerik Jaya Petaling,E-22-10,Berkembar 2 Tingkat,DAERAH PETALING,Selangor,47612,2588,1686500,2026-08-03,B5
TX-2026-08-00800,Residensi Mutiara Sentosa Kuala,B-03-08,Teres 2 Tingkat,DAERAH KUALA LANGAT,Selangor,42748,2079,508500,2026-08-22,B6
TX-2026-08-02816,Kondominium Cempaka Wangi Sepang,D-22-18,Teres 1 Tingkat,DAERAH SEPANG,Selangor,63131,1288,406500,2026-08-31,B1
TX-2026-08-00536,Bandar Kenanga Sari Kuala,D-19-07,Pangsapuri,Kuala Lumpur,W.P. Kuala Lumpur,55402,766,523000,2026-08-15,B5
TX-2026-08-01710,Taman Warisan Murni Hulu,E-23-09,Pangsapuri,Hulu Selangor,Selangor,44169,893,315500,2026-08-23,B2
TX-2026-08-02099,Kondominium Kenanga Sari Sepang,E-34-18,Teres 1 Tingkat,Sepang,Selangor,71802,1139,491000,2026-08-31,B1
TX-2026-08-02704,Pangsapuri Suria Bayu Sepang,F-24-14,Banglo,Sepang,Selangor,63157,5077,1829500,2026-08-24,B3
TX-2026-08-00663,Taman Bukit Harmoni Klang,A-10-10,Banglo,DAERAH KLANG,Selangor,42257,4779,1724500,2026-08-13,B6
TX-2026-08-01988,Desa Seri Melati Kuala,B-28-07,Teres 1 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,52167,1318,1101500,2026-08-07,B2
TX-2026-08-00633,Desa Cempaka Wangi Gombak,E-07-09,Kondominium,DAERAH GOMBAK,Selangor,68034,1572,501000,2026-08-25,B2
TX-2026-08-02005,Taman Bukit Harmoni Gombak,E-01-24,Pangsapuri,Gombak,Selangor,68062,901,329000,2026-08-25,B1
TX-2026-08-02909,Pangsapuri Seri Melati Hulu,G-07-07,Pangsapuri,Hulu Langat,Selangor,43097,844,316000,2026-08-05,B4
TX-2026-08-02661,Pangsapuri Seri Melati Kuala,E-01-06,Kondominium,DAERAH KUALA SELANGOR,Selangor,45643,1559,433500,2026-08-05,B6
TX-2026-08-02887,Desa Seri Melati Kuala,G-28-10,Berkembar 2 Tingkat,DAERAH KUALA LUMPUR,W.P. Kuala Lumpur,50533,2837,2132500,2026-08-23,B6
TX-2026-08-02299,Pangsapuri Suria Bayu Kuala,E-36-17,Teres 2 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,57486,2102,1296500,2026-08-29,B6
TX-2026-08-02556,Desa Bukit Harmoni Petaling,E-10-19,Berkembar 2 Tingkat,DAERAH PETALING,Selangor,47433,2836,1088000,2026-08-18,B3
TX-2026-08-01567,Pangsapuri Kenanga Sari Kuala,C-23-21,Kondominium,DAERAH KUALA SELANGOR,Selangor,45694,976,269000,2026-08-12,B1
TX-2026-08-00977,Taman Bukit Harmoni Klang,C-15-05,Pangsapuri,DAERAH KLANG,Selangor,41092,628,208500,2026-08-02,B4
TX-2026-08-00728,Residensi Seri Melati Kuala,B-10-24,Banglo,Kuala Lumpur,W.P. Kuala Lumpur,51999,4832,5025500,2026-08-20,B1
TX-2026-08-01752,Bandar Mutiara Sentosa Kuala,D-14-16,Kondominium,Kuala Lumpur,W.P. Kuala Lumpur,54083,1209,1030000,2026-08-19,B3
TX-2026-08-02358,Bandar Tasik Permai Kuala,B-35-05,Pangsapuri,Kuala Selangor,Selangor,45748,812,206000,2026-08-31,B6
TX-2026-08-02707,Taman Damai Indah Sabak,F-31-02,Berkembar 2 Tingkat,Sabak Bernam,Selangor,45258,3142,561000,2026-08-24,B1
TX-2026-08-01826,Desa Impian Setia Kuala,A-32-06,Teres 1 Tingkat,Kuala Selangor,Selangor,45743,996,277500,2026-08-30,B6
TX-2026-08-02349,Pangsapuri Kenanga Sari Petaling,B-12-20,Berkembar 2 Tingkat,DAERAH PETALING,Selangor,46078,2669,1363000,2026-08-03,B5
TX-2026-08-01759,Pangsapuri Kenanga Sari Petaling,E-38-22,Kondominium,Petaling,Selangor,46442,1236,869500,2026-08-25,B2
TX-2026-08-02937,Taman Seri Melati Hulu,F-11-08,Pangsapuri,DAERAH HULU LANGAT,Selangor,43459,645,216500,2026-08-20,B1
TX-2026-08-02969,Desa Warisan Murni Petaling,A-07-21,Teres 1 Tingkat,Petaling,Selangor,47660,936,480500,2026-08-16,B4
TX-2026-08-00497,Desa Putra Perdana Klang,C-31-07,Pangsapuri,Klang,Selangor,41805,923,530000,2026-08-28,B1
TX-2026-08-00881,Taman Anggerik Jaya Kuala,F-15-03,Berkembar 2 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,54512,2434,2300000,2026-08-12,B4
TX-2026-08-02566,Desa Putra Perdana Klang,B-07-22,Berkembar 2 Tingkat,Klang,Selangor,41861,2980,1074500,2026-08-13,B2
TX-2026-08-00588,Desa Putra Perdana Klang,B-21-04,Teres 2 Tingkat,Klang,Selangor,41326,1913,737000,2026-08-16,B4
TX-2026-08-00932,Desa Tasik Permai Sepang,F-13-19,Berkembar 2 Tingkat,Sepang,Selangor,63286,2948,936500,2026-08-31,B1
TX-2026-08-00512,Pangsapuri Tasik Permai Gombak,D-33-01,Banglo,DAERAH GOMBAK,Selangor,68077,3961,2423500,2026-08-24,B1
TX-2026-08-00924,Kondominium Seri Melati Sabak,B-19-18,Banglo,Sabak Bernam,Selangor,45102,2954,498000,2026-08-03,B4
TX-2026-08-01993,Taman Anggerik Jaya Kuala,B-17-12,Kondominium,Kuala Lumpur,W.P. Kuala Lumpur,50425,1174,788000,14/08/2026,B3
TX-2026-08-02574,Desa Anggerik Jaya Kuala,B-31-11,Teres 1 Tingkat,Kuala Langat,Selangor,42595,1073,325000,2026-08-21,B4
TX-2026-08-01382,Taman Warisan Murni Gombak,G-03-09,Pangsapuri,Gombak,Selangor,68068,892,238500,2026-08-18,B4
TX-2026-08-02717,Bandar Anggerik Jaya Petaling,F-38-22,Kondominium,Petaling,Selangor,47687,984,775500,2026-08-14,B4
TX-2026-08-02354,Desa Mutiara Sentosa Klang,F-22-10,Teres 1 Tingkat,Klang,Selangor,41462,1045,422000,2026-08-28,B5
TX-2026-08-01438,Kondominium Impian Setia Petaling,F-05-24,Teres 1 Tingkat,DAERAH PETALING,Selangor,46823,1197,509500,2026-08-05,B4
TX-2026-08-00979,Taman Kenanga Sari Kuala,B-16-01,Kondominium,Kuala Lumpur,W.P. Kuala Lumpur,56534,975,496000,2026-08-27,B2
TX-2026-08-01921,Desa Anggerik Jaya Sepang,A-25-14,Berkembar 2 Tingkat,Sepang,Selangor,63252,2931,1362500,2026-08-09,B6
TX-2026-08-00705,Taman Tasik Permai Klang,E-11-18,Teres 1 Tingkat,Klang,Selangor,41258,1165,457500,2026-08-30,B4
TX-2026-08-02063,Desa Impian Setia Klang,F-18-21,Teres 2 Tingkat,Klang,Selangor,41607,2264,673500,2026-08-04,B2
TX-2026-08-02022,Taman Anggerik Jaya Kuala,G-12-03,Berkembar 2 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,53756,3122,2106000,2026-08-27,B1
TX-2026-08-02484,Residensi Kenanga Sari Sepang,D-12-18,Kondominium,Sepang,Selangor,63253,1526,583000,2026-08-12,B6
TX-2026-08-01743,Taman Bukit Harmoni Gombak,C-28-09,Teres 1 Tingkat,Gombak,Selangor,68062,1238,528500,2026-08-01,B6
TX-2026-08-01639,Desa Impian Setia Kuala,A-12-09,Pangsapuri,Kuala Selangor,Selangor,45764,627,192500,2026-08-20,B6
TX-2026-08-00056,Kondominium Impian Setia Petaling,B-09-22,Pangsapuri,Petaling,Selangor,47308,632,328500,2026-08-18,B1
TX-2026-08-01578,Bandar Mutiara Sentosa Kuala,G-01-15,Pangsapuri,Kuala Lumpur,W.P. Kuala Lumpur,59370,767,477500,2026-08-26,B2
TX-2026-08-02564,Desa Putra Perdana Klang,E-05-02,Banglo,Klang,Selangor,41887,3353,1347500,2026-08-30,B6
TX-2026-08-02297,Pangsapuri Kenanga Sari Petaling,G-23-07,Pangsapuri,Petaling,Selangor,47190,913,372000,2026-08-25,B1
TX-2026-08-00678,Taman Kenanga Sari Kuala,C-27-08,Kondominium,Kuala Lumpur,W.P. Kuala Lumpur,55366,977,762000,2026-08-03,B3
TX-2026-08-01222,Taman Kenanga Sari Klang,B-36-24,Teres 1 Tingkat,Klang,Selangor,41649,1110,546000,2026-08-07,B1
TX-2026-08-00239,Residensi Kenanga Sari Sepang,C-18-07,Kondominium,Sepang,Selangor,63268,1505,700500,2026-08-02,B2
TX-2026-08-02911,Desa Anggerik Jaya Sepang,D-04-07,Kondominium,DAERAH SEPANG,Selangor,63085,831,413500,2026-08-01,B3
TX-2026-08-02617,Desa Anggerik Jaya Kuala,F-22-16,Teres 2 Tingkat,Kuala Langat,Selangor,42616,2190,594500,2026-08-06,B5
TX-2026-08-00144,Kondominium Damai Indah Petaling,A-26-12,Pangsapuri,Petaling,Selangor,46214,893,464500,2026-08-07,B5
TX-2026-08-01588,Pangsapuri Kenanga Sari Kuala,F-26-20,Kondominium,Kuala Selangor,Selangor,45658,1325,397000,2026-08-28,B2
TX-2026-08-01521,Kondominium Damai Indah Petaling,D-27-14,Teres 2 Tingkat,Petaling,Selangor,46788,1402,805000,2026-08-27,B1
TX-2026-08-00389,Desa Anggerik Jaya Kuala,A-07-09,Teres 2 Tingkat,Kuala Langat,Selangor,42786,2359,696500,2026-08-10,B4
TX-2026-08-01934,Pangsapuri Kenanga Sari Petaling,E-11-19,Pangsapuri,DAERAH PETALING,Selangor,46821,913,744500,2026-08-22,B1
TX-2026-08-01891,Pangsapuri Suria Bayu Sepang,G-35-15,Banglo,Sepang,Selangor,63278,3392,1478000,2026-08-02,B2
TX-2026-08-00408,Pangsapuri Seri Melati Hulu,E-22-19,Pangsapuri,Hulu Langat,Selangor,43086,655,299000,2026-08-29,B4
TX-2026-08-01751,Pangsapuri Bukit Harmoni Sabak,B-14-13,Pangsapuri,Sabak Bernam,Selangor,45383,560,142000,31/08/2026,B3
TX-2026-08-02176,Kondominium Damai Indah Petaling,D-07-20,Teres 2 Tingkat,Petaling,Selangor,46399,1949,868000,2026-08-21,B4
TX-2026-08-02415,Taman Bukit Harmoni Sabak,F-27-12,Teres 1 Tingkat,Sabak Bernam,Selangor,45299,1028,290500,2026-08-04,B3
TX-2026-08-02580,Bandar Suria Bayu Kuala,F-23-12,Berkembar 2 Tingkat,Kuala Langat,Selangor,42776,3358,1490500,2026-08-22,B5
TX-2026-08-01333,Desa Warisan Murni Petaling,B-21-15,Banglo,DAERAH PETALING,Selangor,46737,3929,1757500,2026-08-17,B3
TX-2026-08-01144,Taman Tasik Permai Klang,F-07-11,Teres 1 Tingkat,Klang,Selangor,42112,1030,394500,01/08/2026,B4
TX-2026-08-02409,Pangsapuri Seri Melati Hulu,G-36-12,Banglo,Hulu Langat,Selangor,43315,3150,1651500,2026-08-03,B5
TX-2026-08-00729,Taman Kenanga Sari Gombak,C-01-01,Teres 1 Tingkat,Gombak,Selangor,68089,948,449500,2026-08-18,B5
TX-2026-08-02557,Taman Warisan Murni Gombak,C-11-05,Berkembar 2 Tingkat,Gombak,Selangor,68050,2820,1036000,2026-08-28,B6
TX-2026-08-00054,Desa Warisan Murni Petaling,F-32-20,Kondominium,Petaling,Selangor,46992,1352,703000,2026-08-19,B4
TX-2026-08-02473,Kondominium Seri Melati Sabak,B-12-16,Teres 2 Tingkat,Sabak Bernam,Selangor,45161,2036,357000,2026-08-31,B5
TX-2026-08-00305,Kondominium Kenanga Sari Hulu,D-25-02,Teres 1 Tingkat,Hulu Langat,Selangor,43376,1052,640500,2026-08-19,B1
TX-2026-08-00362,Bandar Anggerik Jaya Petaling,D-28-18,Banglo,Petaling,Selangor,47754,3977,1894500,2026-08-09,B5
TX-2026-08-01647,Taman Seri Melati Hulu,D-22-09,Kondominium,Hulu Langat,Selangor,43111,1375,380500,2026-08-18,B5
TX-2026-08-02289,Kondominium Putra Perdana Petaling,A-26-12,Teres 2 Tingkat,DAERAH PETALING,Selangor,46581,2246,1045000,2026-08-19,B3
TX-2026-08-02561,Desa Seri Melati Kuala,C-22-13,Banglo,Kuala Lumpur,W.P. Kuala Lumpur,50422,2863,1812500,2026-08-22,B3
